ID,Name,Proponent,Project Type,AFOLU Activities,Methodology,Status,Country/Area,Estimated Annual Emission Reductions,Region,Project Registration Date,Crediting Period Start Date,Crediting Period End Date
3308,Dongyuan Xiantang Landfill Gas Power Generation Phase I Project,"Shenzhen PhasCon Technologies Co.,Ltd.",Energy industries (renewable/non-renewable sources); Waste handling and disposal,,ACM0001,Registered,China,99589,Asia,2022-12-07,2022-01-25,2029-01-24
3177,Puyang County MSW Landfill Site LFG Pollution Treatment and Comprehensive Utilization Project,"Henan BCCY Environmental Energy CO.,LTD.",Energy industries (renewable/non-renewable sources); Waste handling and disposal,,AMS-I.D.; AMS-III.G.,Registered,China,31961,Asia,2023-01-10,2022-01-01,2031-12-31
3128,Luyi Biogas Recovery and Utilization Project,"Luyi Agro-pastoral Co., Ltd.","Energy industries (renewable/non-renewable sources); Livestock, enteric fermentation, and manure management; Waste handling and disposal",,ACM0010,Registered,China,228849,Asia,2022-11-29,2021-04-01,2031-03-31
3130,Shangcai Xima Biogas Recovery and Utilization Project,"Shangcai Agro-pastoral Co., Ltd.","Energy industries (renewable/non-renewable sources); Livestock, enteric fermentation, and manure management; Waste handling and disposal",,ACM0010,Registered,China,175870,Asia,2022-11-18,2021-08-02,2031-08-01
3131,Xiping Biogas Recovery and Utilization Project,"Xiping Agro-pastoral Co., Ltd.",Waste handling and disposal,,ACM0010,Registered,China,211567,Asia,2022-11-18,2021-05-06,2031-05-05
3133,Huaxian Fengqiqiu Biogas Recovery and Utilization Project,"Huaxian Agro-pastoral Co., Ltd.",Agriculture Forestry and Other Land Use; Energy industries (renewable/non-renewable sources); Waste handling and disposal,,ACM0010,Registered,China,119844,Asia,2022-12-07,2021-06-03,2031-06-02
3134,Huaxian Caiying Biogas Recovery and Utilization Project,"Huaxian Agro-pastoral Co., Ltd.",Waste handling and disposal,,ACM0010,Registered,China,191968,Asia,2022-11-29,2021-06-08,2031-06-07
3132,Shangcai Chenfazhai Biogas Recovery and Utilization Project,"Shangcai Agro-pastoral Co., Ltd.","Energy industries (renewable/non-renewable sources); Livestock, enteric fermentation, and manure management; Waste handling and disposal",,ACM0010,Registered,China,113496,Asia,2022-12-07,2021-09-01,2031-08-31
3135,Henan Grouped Biogas Recovery and Utilization Project,"Muyuan Foods Co., Ltd.",Waste handling and disposal,,AMS-III.D.,Registered,China,210415,Asia,2022-11-18,2021-07-01,2042-06-30
3126,Qingfeng Biogas Recovery and Utilization Project,"Qingfeng Agro-pastoral Co., Ltd.",Waste handling and disposal,,ACM0010,Registered,China,114497,Asia,2022-11-18,2021-08-05,2031-08-04
3078,Puyang County Rural MSW Landfill Site LFG Pollution Treatment and Comprehensive Utilization Project,"Henan BCCY Environmental Energy CO.,LTD.",Energy industries (renewable/non-renewable sources); Waste handling and disposal,,AMS-I.D.; AMS-III.G.,Registered,China,32916,,2023-01-12,2021-12-09,2031-12-08
3070,Liucheng County MSW Landfill Site LFG Recovery and Comprehensive Utilization Project,"Henan BCCY Environmental Energy CO.,LTD.",Energy industries (renewable/non-renewable sources); Waste handling and disposal,,AMS-I.D.; AMS-III.G.,Registered,China,31942,Asia,2022-12-05,2021-12-22,2031-12-21
3069,Tangyin County MSW Landfill Site LFG Pollution Control and Comprehensive Utilization Project,"Henan BCCY Environmental Energy CO.,LTD.",Energy industries (renewable/non-renewable sources); Waste handling and disposal,,ACM0001,Registered,China,48994,Asia,2022-12-27,2022-01-28,2032-01-27
3006,Taiqian County MSW Landfill Site LFG Comprehensive Utilization Project,"Henan BCCY Environmental Energy CO.,LTD.",Energy industries (renewable/non-renewable sources); Waste handling and disposal,,AMS-I.D.; AMS-III.G.,Registered,China,43296,Asia,2022-12-27,2021-07-31,2031-07-30
3005,Tongxu Biogas Recovery and Utilization Project,"Tongxu Agro-pastoral Co., Ltd.","Livestock, enteric fermentation, and manure management; Waste handling and disposal",,ACM0010,Registered,China,123018,Asia,2022-10-27,2020-07-15,2030-07-14
2957,Wuhan Chenjiachong Landfill Gas Power Generation Project Phase II,"Wuhan Jianghuan OneCarbon Energy Development Co., Ltd.",Energy industries (renewable/non-renewable sources); Waste handling and disposal,,ACM0001,Registered,China,167482,Asia,2022-10-01,2020-07-14,2030-07-13
2951,Liaoning Xinwang Swine Farm Manure Management System GHG Mitigation Project,"Kangping Xinwang agriculture and animal husbandry Co., Ltd.","Energy industries (renewable/non-renewable sources); Livestock, enteric fermentation, and manure management; Waste handling and disposal",,ACM0010,Registered,China,201850,Asia,2022-12-12,2020-08-01,2027-07-31
2899,Adjusted Water Management in Rice Cultivation In Dawu County,"Wuhan Haimingsen Environmental Protection Technology Co., Ltd.",Agriculture Forestry and Other Land Use,ALM,AMS-III.AU,Registered,China,59923,Asia,2022-08-08,2018-05-08,2025-05-07
2902,Adjusted Water Management in Rice Cultivation In Huangmei County,"Wuhan Haimingsen Environmental Protection Technology Co., Ltd.",Agriculture Forestry and Other Land Use,ALM,AMS-III.AU,Registered,China,59901,Asia,2022-08-08,2018-05-10,2025-05-09
2909,Adjusted Water Management in Rice Cultivation In Yingcheng City,"Wuhan Haimingsen Environmental Protection Technology Co., Ltd.",Agriculture Forestry and Other Land Use,ALM,AMS-III.AU,Registered,China,59902,Asia,2022-08-18,2018-05-07,2025-05-06
2913,Guizhou Yingxing CMM Power Generation Project,"Guizhou Jinyan Energy Technology Co., Ltd.",Energy industries (renewable/non-renewable sources); Mining/mineral production,,ACM0008,Registered,China,104042,Asia,2022-10-03,2020-10-01,2030-09-30
