"Vintage","Credit Status","Quantity","GSID","Project Name","Project Developer","Country","Project Type","Methodology","Programme of Activities","POA GSID","Product Type","Issuance Date","Monitoring Period Start","Monitoring Period End","Serial Number","Eligible for CORSIA?","Retired for CORSIA?","CORSIA Authorisation","Aeroplane Operator Name"
"2021","Issued","3490","1033","Xuyong household biogas Gold Standard VER Project","Chengdu Oasis Science & Technology Co Ltd","China","Biogas - Heat","GS Baseline and Monitoring Methodology Biodigester v1.","Standalone",,"VER","2023-01-02T10:20:32.583","2021-03-01","2021-10-31","GS1-1-CN-GS1033-4-2021-23549-1-3490","No","No","Not Applicable",
"2021","Issued","729","1033","Xuyong household biogas Gold Standard VER Project","Chengdu Oasis Science & Technology Co Ltd","China","Biogas - Heat","GS Baseline and Monitoring Methodology Biodigester v1.","Standalone",,"VER","2023-01-02T10:18:22.773","2020-03-01","2021-02-28","GS1-1-CN-GS1033-4-2021-23548-1-729","No","No","Not Applicable",
"2020","Issued","3782","1033","Xuyong household biogas Gold Standard VER Project","Chengdu Oasis Science & Technology Co Ltd","China","Biogas - Heat","GS Baseline and Monitoring Methodology Biodigester v1.","Standalone",,"VER","2023-01-02T10:18:22.700","2020-03-01","2021-02-28","GS1-1-CN-GS1033-4-2020-23547-1-3782","No","No","Not Applicable",
"2020","Issued","759","1033","Xuyong household biogas Gold Standard VER Project","Chengdu Oasis Science & Technology Co Ltd","China","Biogas - Heat","GS Baseline and Monitoring Methodology Biodigester v1.","Standalone",,"VER","2023-01-02T10:15:25.319","2019-03-01","2020-02-29","GS1-1-CN-GS1033-4-2020-23546-1-759","No","No","Not Applicable",
"2019","Issued","3868","1033","Xuyong household biogas Gold Standard VER Project","Chengdu Oasis Science & Technology Co Ltd","China","Biogas - Heat","GS Baseline and Monitoring Methodology Biodigester v1.","Standalone",,"VER","2023-01-02T10:15:25.167","2019-03-01","2020-02-29","GS1-1-CN-GS1033-4-2019-23545-1-3868","No","No","Not Applicable",
"2019","Issued","15000","7049","Sichuan Rural Poor-Household Biogas Development Programme (GS1239 CER to VER conversion)","UPM Umwelt-Projekt-Management GmbH","China","Biogas - Heat","AMS-I.I. Biogas/biomass thermal applications for households/small users","VPA","1239","VER","2022-12-22T18:14:23.273","2019-01-01","2019-12-31","GS1-1-CN-GS7049-4-2019-23504-1-15000","No","No","Not Applicable",
"2022","Issued","51474","11335","Shuangbaotai Animal Manure Management System GHG Mitigation Project in Guangdong Province","Profit Carbon Environmental Energy Technology (Shanghai) Co. Ltd.","China","Biogas - Electricity","ACM0010 GHG emission reductions from manure management systems","Standalone",,"VER","2022-12-16T04:17:30.879","2020-12-20","2022-03-31","GS1-1-CN-GS11335-5-2022-23435-1-51474","No","No","Not Applicable",
"2021","Issued","207349","11335","Shuangbaotai Animal Manure Management System GHG Mitigation Project in Guangdong Province","Profit Carbon Environmental Energy Technology (Shanghai) Co. Ltd.","China","Biogas - Electricity","ACM0010 GHG emission reductions from manure management systems","Standalone",,"VER","2022-12-16T04:17:30.663","2020-12-20","2022-03-31","GS1-1-CN-GS11335-5-2021-23434-1-207349","No","No","Not Applicable",
"2020","Issued","6035","11335","Shuangbaotai Animal Manure Management System GHG Mitigation Project in Guangdong Province","Profit Carbon Environmental Energy Technology (Shanghai) Co. Ltd.","China","Biogas - Electricity","ACM0010 GHG emission reductions from manure management systems","Standalone",,"VER","2022-12-16T04:17:30.445","2020-12-20","2022-03-31","GS1-1-CN-GS11335-5-2020-23433-1-6035","No","No","Not Applicable",
"2021","Issued","201222","11558","Yandun 8C Wind Farm Project","Profit Carbon Environmental Energy Technology (Shanghai) Co. Ltd.","China","Wind","ACM0002 Grid-connected electricity generation from renewable sources","Standalone",,"VER","2022-11-20T11:33:06.764","2020-02-15","2021-07-27","GS1-1-CN-GS11558-12-2021-23292-1-201222","No","No","Not Applicable",
"2020","Issued","272753","11558","Yandun 8C Wind Farm Project","Profit Carbon Environmental Energy Technology (Shanghai) Co. Ltd.","China","Wind","ACM0002 Grid-connected electricity generation from renewable sources","Standalone",,"VER","2022-11-20T11:33:06.693","2020-02-15","2021-07-27","GS1-1-CN-GS11558-12-2020-23291-1-272753","No","No","Not Applicable",
"2022","Issued","53875","11336","Shuangbaotai Animal Manure Management System GHG Mitigation Project in Guangxi Province","Profit Carbon Environmental Energy Technology (Shanghai) Co. Ltd.","China","Biogas - Electricity","ACM0010 GHG emission reductions from manure management systems","Standalone",,"VER","2022-11-10T10:44:19.146","2021-01-20","2022-03-31","GS1-1-CN-GS11336-5-2022-23113-1-53875","No","No","Not Applicable",
"2021","Issued","206817","11336","Shuangbaotai Animal Manure Management System GHG Mitigation Project in Guangxi Province","Profit Carbon Environmental Energy Technology (Shanghai) Co. Ltd.","China","Biogas - Electricity","ACM0010 GHG emission reductions from manure management systems","Standalone",,"VER","2022-11-10T10:44:18.996","2021-01-20","2022-03-31","GS1-1-CN-GS11336-5-2021-23112-1-206817","No","No","Not Applicable",
"2022","Issued","115231","11337","Shuangbaotai Animal Manure Management System GHG Mitigation Project in Jiangxi Province","Profit Carbon Environmental Energy Technology (Shanghai) Co. Ltd.","China","Biogas - Electricity","ACM0010 GHG emission reductions from manure management systems","Standalone",,"VER","2022-10-21T08:32:49.331","2020-12-07","2022-03-31","GS1-1-CN-GS11337-5-2022-23040-1-115231","No","No","Not Applicable",
"2021","Issued","464834","11337","Shuangbaotai Animal Manure Management System GHG Mitigation Project in Jiangxi Province","Profit Carbon Environmental Energy Technology (Shanghai) Co. Ltd.","China","Biogas - Electricity","ACM0010 GHG emission reductions from manure management systems","Standalone",,"VER","2022-10-21T08:32:49.258","2020-12-07","2022-03-31","GS1-1-CN-GS11337-5-2021-23039-1-464834","No","No","Not Applicable",
"2020","Issued","28182","11337","Shuangbaotai Animal Manure Management System GHG Mitigation Project in Jiangxi Province","Profit Carbon Environmental Energy Technology (Shanghai) Co. Ltd.","China","Biogas - Electricity","ACM0010 GHG emission reductions from manure management systems","Standalone",,"VER","2022-10-21T08:32:49.180","2020-12-07","2022-03-31","GS1-1-CN-GS11337-5-2020-23038-1-28182","No","No","Not Applicable",
"2022","Issued","111158","11334","Heilongjiang Swine Farm Animal Waste Management System GHG Mitigation Project","Profit Carbon Environmental Energy Technology (Shanghai) Co. Ltd.","China","Biogas - Electricity","ACM0010 GHG emission reductions from manure management systems","Standalone",,"VER","2022-10-12T07:40:49.740","2020-12-01","2022-03-31","GS1-1-CN-GS11334-5-2022-23009-1-111158","No","No","Not Applicable",
"2021","Issued","454701","11334","Heilongjiang Swine Farm Animal Waste Management System GHG Mitigation Project","Profit Carbon Environmental Energy Technology (Shanghai) Co. Ltd.","China","Biogas - Electricity","ACM0010 GHG emission reductions from manure management systems","Standalone",,"VER","2022-10-12T07:40:49.648","2020-12-01","2022-03-31","GS1-1-CN-GS11334-5-2021-23008-1-454701","No","No","Not Applicable",
"2020","Issued","33136","11334","Heilongjiang Swine Farm Animal Waste Management System GHG Mitigation Project","Profit Carbon Environmental Energy Technology (Shanghai) Co. Ltd.","China","Biogas - Electricity","ACM0010 GHG emission reductions from manure management systems","Standalone",,"VER","2022-10-12T07:40:49.555","2020-12-01","2022-03-31","GS1-1-CN-GS11334-5-2020-23007-1-33136","No","No","Not Applicable",
"2021","Issued","3695","11556","Yunxiao Zengjiang Wind Farm","Profit Carbon Environmental Energy Technology (Shanghai) Co. Ltd.","China","Wind","ACM0002 Grid-connected electricity generation from renewable sources","Standalone",,"VER","2022-09-28T10:44:47.733","2020-02-10","2021-01-30","GS1-1-CN-GS11556-12-2021-22987-1-3695","No","No","Not Applicable",
"2020","Issued","38987","11556","Yunxiao Zengjiang Wind Farm","Profit Carbon Environmental Energy Technology (Shanghai) Co. Ltd.","China","Wind","ACM0002 Grid-connected electricity generation from renewable sources","Standalone",,"VER","2022-09-28T10:44:47.624","2020-02-10","2021-01-30","GS1-1-CN-GS11556-12-2020-22986-1-38987","No","No","Not Applicable",
"2022","Issued","84311","11167","Taishan Geothermal Central Heating System","Profit Carbon Environmental Energy Technology (Shanghai) Co. Ltd.","China","Geothermal","AM0072 Fossil Fuel Displacement by Geothermal Resources for Space Heating","Standalone",,"VER","2022-08-24T09:57:37.336","2021-04-01","2022-03-31","GS1-1-CN-GS11167-13-2022-22832-1-84311","No","No","Not Applicable",
"2021","Issued","56845","11167","Taishan Geothermal Central Heating System","Profit Carbon Environmental Energy Technology (Shanghai) Co. Ltd.","China","Geothermal","AM0072 Fossil Fuel Displacement by Geothermal Resources for Space Heating","Standalone",,"VER","2022-08-24T09:57:37.241","2021-04-01","2022-03-31","GS1-1-CN-GS11167-13-2021-22831-1-56845","No","No","Not Applicable",
"2022","Issued","219977","11256","Changdao Geothermal Central Heating System","Profit Carbon Environmental Energy Technology (Shanghai) Co. Ltd.","China","Geothermal","AM0072 Fossil Fuel Displacement by Geothermal Resources for Space Heating","Standalone",,"VER","2022-08-22T05:04:49.185","2021-04-01","2022-03-31","GS1-1-CN-GS11256-13-2022-22824-1-219977","No","No","Not Applicable",
"2021","Issued","149308","11256","Changdao Geothermal Central Heating System","Profit Carbon Environmental Energy Technology (Shanghai) Co. Ltd.","China","Geothermal","AM0072 Fossil Fuel Displacement by Geothermal Resources for Space Heating","Standalone",,"VER","2022-08-22T05:04:49.059","2021-04-01","2022-03-31","GS1-1-CN-GS11256-13-2021-22823-1-149308","No","No","Not Applicable",
"2022","Issued","14502","7606","Zaoyuan Solar Cooker Project","Sirreon Technology & Development (Beijing) Co.Ltd","China","Solar Thermal - Heat","AMS-I.C. Thermal energy production with or without electricity","Standalone",,"VER","2022-08-16T13:43:54.990","2021-03-16","2022-03-15","GS1-1-CN-GS7606-3-2022-22819-1-14502","No","No","Not Applicable",
"2021","Issued","84054","7606","Zaoyuan Solar Cooker Project","Sirreon Technology & Development (Beijing) Co.Ltd","China","Solar Thermal - Heat","AMS-I.C. Thermal energy production with or without electricity","Standalone",,"VER","2022-08-16T13:43:54.920","2021-03-16","2022-03-15","GS1-1-CN-GS7606-3-2021-22818-1-84054","No","No","Not Applicable",
"2022","Issued","14379","7605","Shifosi Solar Cooker Project","Sirreon Technology & Development (Beijing) Co.Ltd","China","Solar Thermal - Heat","AMS-I.C. Thermal energy production with or without electricity","Standalone",,"VER","2022-08-16T13:43:20.621","2021-03-16","2022-03-15","GS1-1-CN-GS7605-3-2022-22817-1-14379","No","No","Not Applicable",
"2021","Issued","83040","7605","Shifosi Solar Cooker Project","Sirreon Technology & Development (Beijing) Co.Ltd","China","Solar Thermal - Heat","AMS-I.C. Thermal energy production with or without electricity","Standalone",,"VER","2022-08-16T13:43:20.548","2021-03-16","2022-03-15","GS1-1-CN-GS7605-3-2021-22816-1-83040","No","No","Not Applicable",
"2022","Issued","14638","7604","Houji Solar Cooker Project","Sirreon Technology & Development (Beijing) Co.Ltd","China","Solar Thermal - Heat","AMS-I.C. Thermal energy production with or without electricity","Standalone",,"VER","2022-08-16T13:42:44.334","2021-03-16","2022-03-15","GS1-1-CN-GS7604-3-2022-22815-1-14638","No","No","Not Applicable",
"2021","Issued","84835","7604","Houji Solar Cooker Project","Sirreon Technology & Development (Beijing) Co.Ltd","China","Solar Thermal - Heat","AMS-I.C. Thermal energy production with or without electricity","Standalone",,"VER","2022-08-16T13:42:44.245","2021-03-16","2022-03-15","GS1-1-CN-GS7604-3-2021-22814-1-84835","No","No","Not Applicable",
"2020","Issued","8528","1693","GS1239 Sichuan Rural Poor-Household Biogas Development Programme PoA- CPA Nb. SCHHBG-2012-002","Chengdu Oasis Science & Technology Co Ltd","China","Biogas - Heat","AMS-I.C. Thermal energy production with or without electricity","VPA","1239","VER","2022-08-05T09:50:56.591","2020-01-01","2020-12-31","GS1-1-CN-GS1693-4-2020-22791-1-8528","No","No","Not Applicable",
"2020","Issued","8844","1741","GS1239 Sichuan Rural Poor-Household Biogas Development Programme PoA- CPA Nb. SCHHBG-2012-049","Chengdu Oasis Science & Technology Co Ltd","China","Biogas - Heat","AMS-I.I. Biogas/biomass thermal applications for households/small users","VPA","1239","VER","2022-08-05T09:49:14.164","2020-01-01","2020-12-31","GS1-1-CN-GS1741-4-2020-22790-1-8844","No","No","Not Applicable",
"2022","Issued","246054","11400","Fajina Geothermal Based Space Heating System","Profit Carbon Environmental Energy Technology (Shanghai) Co. Ltd.","China","Geothermal","AM0072 Fossil Fuel Displacement by Geothermal Resources for Space Heating","Standalone",,"VER","2022-08-05T07:53:57.304","2021-04-01","2022-03-31","GS1-1-CN-GS11400-13-2022-22789-1-246054","No","No","Not Applicable",
"2021","Issued","166689","11400","Fajina Geothermal Based Space Heating System","Profit Carbon Environmental Energy Technology (Shanghai) Co. Ltd.","China","Geothermal","AM0072 Fossil Fuel Displacement by Geothermal Resources for Space Heating","Standalone",,"VER","2022-08-05T07:53:57.224","2021-04-01","2022-03-31","GS1-1-CN-GS11400-13-2021-22788-1-166689","No","No","Not Applicable",
"2019","Issued","22000","7049","Sichuan Rural Poor-Household Biogas Development Programme (GS1239 CER to VER conversion)","UPM Umwelt-Projekt-Management GmbH","China","Biogas - Heat","AMS-I.I. Biogas/biomass thermal applications for households/small users","VPA","1239","VER","2022-07-18T15:47:50.178","2019-01-01","2019-12-31","GS1-1-CN-GS7049-4-2019-22723-1-22000","No","No","Not Applicable",
"2016","Issued","15000","7049","Sichuan Rural Poor-Household Biogas Development Programme (GS1239 CER to VER conversion)","UPM Umwelt-Projekt-Management GmbH","China","Biogas - Heat","AMS-I.I. Biogas/biomass thermal applications for households/small users","VPA","1239","VER","2022-07-15T12:50:37.011","2016-01-01","2016-12-31","GS1-1-CN-GS7049-4-2016-22722-1-15000","No","No","Not Applicable",
