Vintage,Credit Status,Quantity,GSID,Project Name,Project Developer,Country,Product Type,Project Type,Methodology,Programme of Activities,POA GSID,Issuance Date,Retirement Date,Monitoring Period Start,Monitoring Period End,Serial Number,Note,Eligible for CORSIA?,Retired for CORSIA?,CORSIA Authorisation,Aeroplane Operator Name
2019,Retired,3800,7049,Sichuan Rural Poor-Household Biogas Development Programme (GS1239 CER to VER conversion),UPM Umwelt-Projekt-Management GmbH,China,VER,Biogas - Heat,AMS-I.I. Biogas/biomass thermal applications for households/small users,VPA,1239,12/22/2022,1/10/2023,1/1/2019,12/31/2019,GS1-1-CN-GS7049-4-2019-23504-1-3800,,No,No,Not Applicable,
2021,Retired,12499,11334,Heilongjiang Swine Farm Animal Waste Management System GHG Mitigation Project,Profit Carbon Environmental Energy Technology (Shanghai) Co. Ltd.,China,VER,Biogas - Electricity,ACM0010 GHG emission reductions from manure management systems,Standalone,,10/12/2022,12/6/2022,12/1/2020,3/31/2022,GS1-1-CN-GS11334-5-2021-23008-773-13271,,No,No,Not Applicable,
2020,Retired,8528,1693,GS1239 Sichuan Rural Poor-Household Biogas Development Programme PoA- CPA Nb. SCHHBG-2012-002,Chengdu Oasis Science & Technology Co Ltd,China,VER,Biogas - Heat,AMS-I.C. Thermal energy production with or without electricity,VPA,1239,8/5/2022,9/29/2022,1/1/2020,12/31/2020,GS1-1-CN-GS1693-4-2020-22791-1-8528,,No,No,Not Applicable,
2020,Retired,1473,1741,GS1239 Sichuan Rural Poor-Household Biogas Development Programme PoA- CPA Nb. SCHHBG-2012-049,Chengdu Oasis Science & Technology Co Ltd,China,VER,Biogas - Heat,AMS-I.I. Biogas/biomass thermal applications for households/small users,VPA,1239,8/5/2022,9/29/2022,1/1/2020,12/31/2020,GS1-1-CN-GS1741-4-2020-22790-1-1473,,No,No,Not Applicable,
2019,Retired,22000,7049,Sichuan Rural Poor-Household Biogas Development Programme (GS1239 CER to VER conversion),UPM Umwelt-Projekt-Management GmbH,China,VER,Biogas - Heat,AMS-I.I. Biogas/biomass thermal applications for households/small users,VPA,1239,7/18/2022,8/29/2022,1/1/2019,12/31/2019,GS1-1-CN-GS7049-4-2019-22723-1-22000,Retired on behalf of PwC International Limited,No,No,Not Applicable,
2016,Retired,67,7049,Sichuan Rural Poor-Household Biogas Development Programme (GS1239 CER to VER conversion),UPM Umwelt-Projekt-Management GmbH,China,VER,Biogas - Heat,AMS-I.I. Biogas/biomass thermal applications for households/small users,VPA,1239,7/15/2022,8/9/2022,1/1/2016,12/31/2016,GS1-1-CN-GS7049-4-2016-22722-1-67,"Retired on behalf of Anaïk 
(pour Kenzo :
VE 20 93195 : Trousse Homme 23750 pcs + Trousse femme 14871 : 38 crédits
VE 20 93196 : Trousse Femme 15 000 pcs : 29 crédits)",No,No,Not Applicable,
2019,Retired,3000,7049,Sichuan Rural Poor-Household Biogas Development Programme (GS1239 CER to VER conversion),UPM Umwelt-Projekt-Management GmbH,China,VER,Biogas - Heat,AMS-I.I. Biogas/biomass thermal applications for households/small users,VPA,1239,7/8/2022,7/14/2022,1/1/2019,12/31/2019,GS1-1-CN-GS7049-4-2019-22652-1-3000,,No,No,Not Applicable,
2021,Retired,60,7433,Henan Funiushan Solar Cooker Project Phase I,Sirreon Technology & Development (Beijing) Co.Ltd,China,VER,Solar Thermal - Heat,AMS-I.C. Thermal energy production with or without electricity,Standalone,,5/13/2022,12/22/2022,1/1/2021,12/31/2021,GS1-1-CN-GS7433-3-2021-22489-1-60,Retired for Staxs The Netherlands B.V.,No,No,Not Applicable,
2019,Retired,1,2644,Yuqing Rural Methane Digesters Project in Guizhou Province.,Guizhou Honor Carbon Asset Management Co. Ltd,China,VER,Biogas - Heat,AMS-I.C. Thermal energy production with or without electricity,Standalone,,5/6/2022,7/4/2022,1/1/2017,12/31/2019,GS1-1-CN-GS2644-4-2019-22477-798-798,,No,No,Not Applicable,
2017,Retired,13478,2644,Yuqing Rural Methane Digesters Project in Guizhou Province.,Guizhou Honor Carbon Asset Management Co. Ltd,China,VER,Biogas - Heat,AMS-I.C. Thermal energy production with or without electricity,Standalone,,5/6/2022,12/23/2022,1/1/2017,12/31/2019,GS1-1-CN-GS2644-4-2017-22475-967-14444,,No,No,Not Applicable,
