Strategy,Sector,Year,Value,Unit,,,,,,,,,,,,,
BAU,Agriculture ,2022,443.03,MtCO2,,,,,,,,,,,,,
BAU,Agriculture ,2025,486.23,MtCO2,,,,,,,,,,,,,
BAU,Agriculture ,2030,532.79,MtCO2,,,,,,,,,,,,,
BAU,Agriculture ,2035,578.86,MtCO2,,,,,,,,,,,,,
BAU,Agriculture ,2040,626.68,MtCO2,,,,,,,,,,,,,
BAU,Agriculture ,2045,672.53,MtCO2,,,,,,,,,,,,,
BAU,Agriculture ,2050,718.87,MtCO2,,,,,,,,,,,,,
BAU,Agriculture ,2055,756.95,MtCO2,,,,,,,,,,,,,
BAU,Agriculture ,2060,786.90,MtCO2,,,,,,,,,,,,,
BAU,Agriculture ,2065,816.87,MtCO2,,,,,,,,,,,,,
BAU,Agriculture ,2070,839.59,MtCO2,,,,,,,,,,,,,
BAU,Electricity,2022,1216.18,MtCO2,,,,,,,,,,,,,
BAU,Electricity,2025,1288.82,MtCO2,,,,,,,,,,,,,
BAU,Electricity,2030,1701.52,MtCO2,,,,,,,,,,,,,
BAU,Electricity,2035,1891.91,MtCO2,,,,,,,,,,,,,
BAU,Electricity,2040,2223.54,MtCO2,,,,,,,,,,,,,
BAU,Electricity,2045,2284.75,MtCO2,,,,,,,,,,,,,
BAU,Electricity,2050,2370.40,MtCO2,,,,,,,,,,,,,
BAU,Electricity,2055,2264.35,MtCO2,,,,,,,,,,,,,
BAU,Electricity,2060,2234.65,MtCO2,,,,,,,,,,,,,
BAU,Electricity,2065,2132.11,MtCO2,,,,,,,,,,,,,
BAU,Electricity,2070,1703.03,MtCO2,,,,,,,,,,,,,
BAU,Transport,2022,348.58,MtCO2,,,,,,,,,,,,,
BAU,Transport,2025,464.58,MtCO2,,,,,,,,,,,,,
BAU,Transport,2030,540.77,MtCO2,,,,,,,,,,,,,
BAU,Transport,2035,639.06,MtCO2,,,,,,,,,,,,,
